
2025/03/06 (20:45:43) | ===> btop++ v.1.4.0
2025/03/06 (20:45:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/06 (20:45:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
